0,0,81
0,38,1
0,39,1
1,0,241
1,36,1
1,39,2
1,46,1
1,50,1
1,59,1
2,0,493
2,36,1
2,37,1
2,38,1
2,43,3
2,45,2
2,46,1
2,48,1
2,50,1
2,52,1
2,53,2
2,59,2
3,0,925
3,22,1
3,32,2
3,36,6
3,37,3
3,38,3
3,43,3
3,45,2
3,46,1
3,47,3
3,49,1
3,50,3
3,72,1
3,89,1
4,0,740
4,14,2
4,37,2
4,38,1
4,39,4
4,42,1
4,43,2
4,45,1
4,47,1
4,49,1
4,51,1
5,0,1348
5,3,1
5,31,1
5,32,1
5,34,2
5,36,9
5,39,5
5,40,1
5,43,5
5,45,6
5,47,2
5,48,1
5,50,2
5,51,1
5,58,3
5,86,1
6,0,1759
6,9,1
6,14,1
6,20,1
6,28,1
6,30,1
6,34,2
6,36,10
6,37,2
6,38,3
6,39,6
6,40,3
6,42,1
6,43,7
6,45,2
6,46,2
6,47,1
6,48,1
6,50,3
6,54,1
6,56,1
6,59,1
6,63,1
6,64,1
7,0,646
7,35,1
7,36,3
7,37,2
7,39,2
7,40,1
7,42,1
7,51,1
8,0,15195
8,7,1
8,9,1
8,14,9
8,18,1
8,25,4
8,26,2
8,31,2
8,32,7
8,34,31
8,35,5
8,36,59
8,37,15
8,38,40
8,39,58
8,40,9
8,41,3
8,42,25
8,43,134
8,45,81
8,46,3
8,47,21
8,48,1
8,49,4
8,50,16
8,51,14
8,52,2
8,53,11
8,54,9
8,55,2
8,56,8
8,57,1
8,58,2
8,59,1
8,63,1
8,72,1
8,84,1
8,86,2
8,99,2
9,0,10438
9,4,2
9,9,1
9,14,3
9,18,1
9,20,2
9,25,1
9,26,1
9,28,1
9,30,3
9,31,2
9,32,11
9,34,34
9,35,5
9,36,46
9,37,15
9,38,14
9,39,51
9,40,3
9,41,3
9,42,13
9,43,104
9,44,3
9,45,50
9,46,3
9,47,10
9,48,1
9,49,5
9,50,9
9,51,12
9,53,5
9,54,4
9,55,8
9,56,6
9,58,2
9,59,1
9,64,1
9,68,2
9,89,1
9,99,1
10,0,1980
10,7,1
10,14,1
10,22,1
10,30,1
10,31,2
10,32,1
10,34,3
10,35,3
10,36,5
10,37,2
10,38,5
10,39,6
10,40,1
10,42,2
10,43,20
10,45,11
10,47,1
10,48,1
10,49,1
10,50,1
10,53,1
10,54,2
10,55,4
10,56,3
10,59,1
10,68,1
11,0,1521
11,14,1
11,20,3
11,31,1
11,32,3
11,34,5
11,36,4
11,37,1
11,38,2
11,39,7
11,40,1
11,41,1
11,42,5
11,43,19
11,45,17
11,46,1
11,47,2
11,50,2
11,51,2
11,54,1
11,56,1
11,64,1
12,0,7494
12,4,2
12,7,1
12,14,4
12,25,5
12,26,1
12,28,2
12,30,6
12,31,1
12,32,10
12,34,16
12,35,18
12,36,26
12,37,4
12,38,16
12,39,30
12,40,2
12,41,2
12,42,16
12,43,181
12,45,102
12,47,3
12,49,4
12,50,5
12,51,16
12,52,1
12,53,7
12,54,11
12,55,23
12,56,6
12,58,4
12,64,4
12,68,1
12,86,1
13,0,2433
13,4,1
13,7,2
13,31,1
13,32,5
13,34,5
13,35,6
13,36,3
13,37,1
13,38,6
13,39,6
13,40,1
13,42,6
13,43,73
13,45,67
13,47,1
13,48,1
13,50,2
13,51,8
13,52,1
13,53,1
13,54,3
13,55,13
13,56,3
13,58,5
13,64,3
14,0,740
14,28,1
14,32,1
14,34,1
14,35,4
14,36,2
14,37,1
14,38,1
14,39,2
14,43,19
14,45,29
14,49,1
14,51,2
14,53,2
14,54,1
14,55,20
14,56,2
14,58,3
14,64,2
15,0,526
15,25,1
15,28,1
15,32,2
15,34,1
15,35,2
15,38,1
15,42,1
15,43,27
15,45,15
15,47,1
15,50,1
15,51,1
15,54,4
15,55,2
15,56,1
15,58,3
15,64,2
15,68,1
15,84,1
